study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate
Keys,,,,0,0,0,13,,,,,882.7606772,882.7606772,2.040740741,2.669228,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Laptop,,,,0,1,1,5,,,,,885.4404186,885.4404186,2.014814815,0.9894691,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Cruise,,,,0,2,2,11,,,,,886.466376,886.466376,2.014814815,0.6038012,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
board,,,,0,3,3,4,,,,,887.0913278,887.0913278,2.014814815,0.528706,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
book,,,,0,4,4,0,,,,,887.6437885,887.6437885,2.014814815,0.4760968,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Police,,,,0,5,5,12,,,,,888.1529701,888.1529701,2.014814815,0.7683671,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
pastry,,,,0,6,6,9,,,,,888.9750562,888.9750562,2.014814815,0.6882704,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
cushion,,,,0,7,7,1,,,,,889.6816926,889.6816926,2.014814815,0.4537432,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Chart,,,,0,8,8,6,,,,,890.162379,890.162379,2.014814815,0.5066814,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
mouse,,,,0,9,9,8,,,,,890.6963528,890.6963528,2.014814815,0.5914866,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
marble,,,,0,10,10,3,,,,,891.3109547,891.3109547,2.014814815,0.5901776,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Poster,,,,0,11,11,14,,,,,891.9276514,891.9276514,2.014814815,0.5904619,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
Case,,,,0,12,12,10,,,,,892.5470644,892.5470644,2.014814815,0.5698702,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
T-shirt,,,,0,13,13,7,,,,,893.170515,893.170515,2.014814815,0.4399131,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
phone,,,,0,14,14,2,,,,,893.6257495,893.6257495,2.014814815,0.5089366,,,,,,,,,,,,,,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
,T_hi_t,Tshirt,old,,,,,0,0,0,2,,,,,894.172048,894.172048,894.172048,0.0176834,T-shirt,"[-0.2462962962962963, -0.14722222222222223]","[-0.30277777777777776, -0.31296296296296294]","[1, 1]","[0, 0]","[0, 0]","[0.3119760000263341, 4.46059840003727]",['submit_text'],,185017,1,2023-10-02_14h53.00.094,priming experiment,2023.1.3,59.95940749
