study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText_2.started,test_textbox_2.started,submit_text_2.started,testmouse_2.started,test_textbox_2.text,testmouse_2.x,testmouse_2.y,testmouse_2.leftButton,testmouse_2.midButton,testmouse_2.rightButton,testmouse_2.time,testmouse_2.clicked_name,TestText_2.stopped,test_textbox_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
Mouse,,,,0,0,0,8,,,,,12.5232083,12.5232083,1,2.7188615,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Poster,,,,0,1,1,14,,,,,15.2780251,15.2780251,1,2.2349202,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Phone,,,,0,2,2,2,,,,,17.5455476,17.5455476,1,3.1010271,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Police,,,,0,3,3,12,,,,,20.677297,20.677297,1,1.503505,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Cushion,,,,0,4,4,1,,,,,22.209534,22.209534,1,3.4129653,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Board,,,,0,5,5,4,,,,,25.6588767,25.6588767,1,1.5668994,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Marble,,,,0,6,6,3,,,,,27.2594117,27.2594117,1,1.1604856,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Laptop,,,,0,7,7,5,,,,,28.4553582,28.4553582,1,2.012578,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Pastry,,,,0,8,8,9,,,,,30.5024518,30.5024518,1,1.0752611,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Cruise,,,,0,9,9,11,,,,,31.6107654,31.6107654,1,1.3757503,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Chart,,,,0,10,10,6,,,,,33.0169593,33.0169593,1,0.9276586,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Case,,,,0,11,11,10,,,,,33.9785894,33.9785894,1,1.0186714,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
T-shirt,,,,0,12,12,7,,,,,35.0299653,35.0299653,1,0.9737465,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Book,,,,0,13,13,0,,,,,36.0349838,36.0349838,1,0.8923475,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
Keys,,,,0,14,14,13,,,,,36.9604426,36.9604426,1,1.1579677,,,,,,,,,,,,,,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,P_nc_l,Pencil,new,,,,,0,0,0,16,,,,,38.151475,38.151475,38.151475,0.0096734,Pencil,[-0.03287037037037037],[-0.287962962962963],[1],[0],[0],[4.939319900004193],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,V_s_,Vase,new,,,,,0,1,1,17,,,,,43.0919365,43.0919365,43.0919365,0.004145,Vase,[-0.031018518518518518],[-0.3101851851851852],[1],[0],[0],[3.1179686000104994],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,P_st_y,Pastry,old,,,,,0,2,2,4,,,,,46.2160928,46.2160928,46.2160928,0.0066165,Pastry,[0.07546296296296297],[-0.30092592592592593],[1],[0],[0],[5.595567799871787],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,Ta_l_,Table,new,,,,,0,3,3,15,,,,,51.8225998,51.8225998,51.8225998,0.0035783,Table,[0.06018518518518518],[-0.300462962962963],[1],[0],[0],[3.9274120000191033],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,K_y_,Keys,old,,,,,0,4,4,8,,,,,55.7558453,55.7558453,55.7558453,0.0045858,Keys,[0.05648148148148148],[-0.30462962962962964],[1],[0],[0],[3.041217500111088],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,C_s_io_,Cushion,old,,,,,0,5,5,14,,,,,58.7972606,58.7972606,58.7972606,0.0058189,Cushion,[0.05092592592592592],[-0.28935185185185186],[1],[0],[0],[3.915568199940026],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,P_st_r,Poster,old,,,,,0,6,6,9,,,,,62.725431,62.725431,62.725431,0.0041095,Poster,[0.04490740740740741],[-0.2916666666666667],[1],[0],[0],[3.534395399969071],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,C_m_ra,Camera,new,,,,,0,7,7,19,,,,,66.2605129,66.2605129,66.2605129,0.0037981,Camera,[0.03194444444444444],[-0.30648148148148147],[1],[0],[0],[3.91673759999685],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,C_s_,Case,old,,,,,0,8,8,5,,,,,70.1811425,70.1811425,70.1811425,0.0056313,Case,[0.04537037037037037],[-0.287962962962963],[1],[0],[0],[2.8095327999908477],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_o_rd,Board,old,,,,,0,9,9,10,,,,,73.0005838,73.0005838,73.0005838,0.0031032,Board,[0.028703703703703703],[-0.30925925925925923],[1],[0],[0],[4.47332699992694],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,L_pt_p,Laptop,old,,,,,0,10,10,0,,,,,77.4759888,77.4759888,77.4759888,0.003668,Laptop,[0.01574074074074074],[-0.30972222222222223],[1],[0],[0],[4.184272400103509],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,Bo_t_e,Bottle,new,,,,,0,11,11,18,,,,,81.6706042,81.6706042,81.6706042,0.0054315,Bottle,[0.014814814814814815],[-0.3074074074074074],[1],[0],[0],[3.0784918998833746],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_ru_s_,Cruise,old,,,,,0,12,12,6,,,,,84.751701,84.751701,84.751701,0.0029208,Cruise,[0.009259259259259259],[-0.30416666666666664],[1],[0],[0],[5.312059599906206],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_ho_e,Phone,old,,,,,0,13,13,12,,,,,90.0680054,90.0680054,90.0680054,0.0029123,Phone ,[0.004166666666666667],[-0.2962962962962963],[1],[0],[0],[10.56015029991977],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_o_se,Mouse,old,,,,,0,14,14,3,,,,,100.6344383,100.6344383,100.6344383,0.003571,Mouse ,[-0.02824074074074074],[-0.31666666666666665],[1],[0],[0],[8.169998599914834],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_oo_,Book,old,,,,,0,15,15,13,,,,,108.8047407,108.8047407,108.8047407,0.0026971,Book,[-0.02824074074074074],[-0.30648148148148147],[1],[0],[0],[2.8736858000047505],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_ha_t,Chart,old,,,,,0,16,16,1,,,,,111.6876386,111.6876386,111.6876386,0.004801,Chart,[-0.02824074074074074],[-0.30648148148148147],[1],[0],[0],[5.141923899995163],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,_a_bl_,Marble,old,,,,,0,17,17,11,,,,,116.8334768,116.8334768,116.8334768,0.003401,Marble,[-0.001388888888888889],[-0.31574074074074077],[1],[0],[0],[5.4269995000213385],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
,T_hi_t,Tshirt,old,,,,,0,18,18,2,,,,,122.2645144,122.2645144,122.2645144,0.0073628,Tshirt,[-0.001388888888888889],[-0.31574074074074077],[1],[0],[0],[3.1927378999534994],['submit_text_2'],,,963484,1,2023-10-05_17h45.10.884,Word priming exp class main for lab report  game,2023.1.3,59.99743212
